Designator,Footprint,Quantity,Value,LCSC Part #
A1,Adafruit_Feather_WithMountingHoles,1,Adafruit_Feather_Generic,
"C1, C2",0805,2,100 nF,
C3,0805,1,X5R/X7R ≥10 V 4.7 µF,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-123,108,1N4148,
"D109, D110, D111, D112",LED_D3.0mm,4,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,
J2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08,
"R1, R2",0805,2,4.7 kΩ,
"R3, R4, R5, R6",0805,4,1 kΩ,
"R7, R8",0805,2,5.1 kΩ ±5%,
"SW1, SW10, SW104, SW105, SW106, SW108, SW11, SW12, SW13, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW76, SW77, SW78, SW8, SW80, SW81, SW82, SW83, SW84, SW85, SW86, SW87, SW88, SW89, SW9, SW91, SW92, SW93, SW94",SW_Cherry_MX_PCB_1.00u,90,1u,
"SW100, SW101, SW102, SW96, SW97, SW98, SW99",SW_Cherry_MX_PCB_1.25u,7,1.25u,
SW103,SW_Cherry_MX_Plate_6.25u,1,6.25u,
"SW107, SW14",SW_Cherry_MX_PCB_2.00u,2,2u,
"SW109, SW113",STAB_MX_2.25u,2,2.25u,
SW110,STAB_MX_6.25u,1,6.25u,
SW111,STAB_MX_2.75u,1,2.75u,
SW112,STAB_MX_2u,1,2u,
"SW114, SW115",STAB_MX_2u,2,2u 90,
SW116,SW_PUSH_6mm,1,Reset,
"SW42, SW55",SW_Cherry_MX_PCB_1.50u,2,1.5u,
"SW62, SW95",SW_Cherry_MX_PCB_2.00u_90deg,2,2u 90,
SW63,SW_Cherry_MX_PCB_1.75u,1,1.75u,
"SW75, SW79",SW_Cherry_MX_PCB_2.25u,2,2.25u,
SW90,SW_Cherry_MX_PCB_2.75u,1,2.75u,
"TP1, TP2",TestPoint_THTPad_D2.0mm_Drill1.0mm,2,TestPoint,
"U1, U2",SOIC-28W_7.5x17.9mm_P1.27mm,2,MCP23017_SO,
U3,SOT-23-6,1,USBLC6-2SC6,
